"","words","frequency"
"1501","and said",108
"1502","block of",108
"1503","on tuesday",108
"1504","to run",108
"1505","he did",107
"1506","on friday",107
"1507","on wednesday",107
"1508","the court",106
"1509","group of",105
"1510","years in",105
"1511","because he",104
"1512","charged with",104
"1513","deal with",104
"1514","four years",104
"1515","on thursday",104
"1516","said its",104
"1517","the current",104
"1518","the issue",104
"1519","to move",104
"1520","which has",104
"1521","become a",103
"1522","in january",103
"1523","the money",103
"1524","throughout the",103
"1525","a team",102
"1526","he could",102
"1527","including the",102
"1528","it also",102
"1529","pay for",102
"1530","said and",102
"1531","as part",101
"1532","is expected",101
"1533","a more",100
"1534","percent to",100
"1535","thousands of",100
"1536","willing to",100
"1537","five years",99
"1538","outside the",99
"1539","the report",99
"1540","when a",99
"1541","a second",98
"1542","a single",98
"1543","he can",98
"1544","said but",98
"1545","said of",98
"1546","the st",98
"1547","years and",98
"1548","in recent",97
"1549","on its",97
"1550","the event",97
"1551","this month",97
"1552","a month",96
"1553","involved in",96
"1554","return to",96
"1555","said his",96
"1556","the cost",96
"1557","the early",96
"1558","two weeks",96
"1559","a special",95
"1560","her husband",95
"1561","plan to",95
"1562","the center",95
"1563","the community",95
"1564","the latest",95
"1565","to build",95
"1566","to its",95
"1567","board of",94
"1568","points and",94
"1569","the building",94
"1570","the nations",94
"1571","a major",93
"1572","member of",93
"1573","near the",93
"1574","they could",93
"1575","through a",93
"1576","won the",93
"1577","say the",92
"1578","the department",92
"1579","the league",92
"1580","were going",92
"1581","agreed to",91
"1582","earlier this",91
"1583","in february",91
"1584","the nfl",91
"1585","the senate",91
"1586","to become",91
"1587","keep the",90
"1588","that can",90
"1589","the cardinals",90
"1590","the west",90
"1591","called the",89
"1592","home in",89
"1593","in november",89
"1594","it could",89
"1595","school district",89
"1596","the browns",89
"1597","the fire",89
"1598","year in",89
"1599","10 years",88
"1600","had no",88
"1601","in march",88
"1602","made the",88
"1603","that his",88
"1604","that were",88
"1605","the cleveland",88
"1606","and new",87
"1607","failed to",87
"1608","in 2007",87
"1609","it doesnt",87
"1610","to provide",87
"1611","including a",86
"1612","it wasnt",86
"1613","percent in",86
"1614","says he",86
"1615","the white",86
"1616","at his",85
"1617","cost of",85
"1618","general manager",85
"1619","no 1",85
"1620","white house",85
"1621","a group",84
"1622","a number",84
"1623","declined to",84
"1624","he and",84
"1625","season and",84
"1626","series of",84
"1627","the process",84
"1628","on an",83
"1629","place in",83
"1630","put the",83
"1631","state of",83
"1632","which he",83
"1633","who will",83
"1634","behind the",82
"1635","in 2011",82
"1636","its own",82
"1637","might have",82
"1638","moved to",82
"1639","the high",82
"1640","the race",82
"1641","two of",82
"1642","a strong",81
"1643","access to",81
"1644","addition to",81
"1645","half of",81
"1646","little bit",81
"1647","of two",81
"1648","only a",81
"1649","over a",81
"1650","said a",81
"1651","to reach",81
"1652","who were",81
"1653","a woman",80
"1654","focus on",80
"1655","for its",80
"1656","for years",80
"1657","has become",80
"1658","in april",80
"1659","not been",80
"1660","not going",80
"1661","the governor",80
"1662","the players",80
"1663","the police",80
"1664","the street",80
"1665","to avoid",80
"1666","we want",80
"1667","will take",80
"1668","also said",79
"1669","and thats",79
"1670","are still",79
"1671","for two",79
"1672","he didnt",79
"1673","in may",79
"1674","lead to",79
"1675","supreme court",79
"1676","there will",79
"1677","time of",79
"1678","were in",79
"1679","were the",79
"1680","with its",79
"1681","working with",79
"1682","a recent",78
"1683","city council",78
"1684","money to",78
"1685","though the",78
"1686","to continue",78
"1687","took a",78
"1688","was also",78
"1689","was on",78
"1690","a game",77
"1691","a state",77
"1692","home and",77
"1693","is being",77
"1694","real estate",77
"1695","returned to",77
"1696","right to",77
"1697","said there",77
"1698","say they",77
"1699","the head",77
"1700","the market",77
"1701","to raise",77
"1702","was one",77
"1703","am to",76
"1704","and at",76
"1705","are also",76
"1706","hit a",76
"1707","hit the",76
"1708","inside the",76
"1709","set up",76
"1710","and others",75
"1711","executive director",75
"1712","for one",75
"1713","in other",75
"1714","in prison",75
"1715","in san",75
"1716","in st",75
"1717","or more",75
"1718","seemed to",75
"1719","the largest",75
"1720","the president",75
"1721","to cut",75
"1722","ways to",75
"1723","a series",74
"1724","chief executive",74
"1725","city of",74
"1726","have not",74
"1727","scheduled to",74
"1728","the deal",74
"1729","the no",74
"1730","they want",74
"1731","in two",73
"1732","kansas city",73
"1733","the three",73
"1734","where they",73
